Potency vs Parasite (uMol),Ion Regulation Activity,Ion Regulation Test Set,Smiles
1.6,0,P,CN(c1ccc(F)cc1)S(=O)(=O)c2ccc(Cl)c(c2)C(=O)Nc3cccc(C)n3
1.3,0,P,O=C(NC1CC1)c2ccc(nc2)N3CCC(Cc4ccccc4)CC3
0.9,1,P,CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)c2ccc(Cl)cc2
0.9,0,P,CC(N1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(C)(C)C)C(=O)N3CCCC3
0.2,0,P,Cc1cc(C)n2nc(nc2n1)C(=O)Nc3cc(ccc3N4CCOCC4)C(F)(F)F
0.5,0,P,O=C(Nc1cnc2ccccc2c1)c3cccc(c3)n4cnnn4
1.2,1,P,Clc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=S)NCc3occc3
0.9,0,P,COc1ccccc1CNC(=O)c2cc(nc3c2cnn3C(C)C)C4CC4
0.9,0,P,Cc1ccc(NC(=O)c2cc(ccc2C)S(=O)(=O)NC(C)(C)C)nc1
1,0,P,CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N
1,0,P,Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3cc([nH]n3)c4ccccc4
2,1,P,Clc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N4CCCCC4
1.9,0,P,Cc1onc(c1)C(=O)Nc2cnn(Cc3ccc(Cl)cc3Cl)c2
0.6,0,P,Cc1cc(Nc2ccncc2)n3nc(C)c(c4ccccc4Cl)c3n1
2,0,P,C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26
0.8,0,P,Clc1cccc(c1)c2cnn3ccc(nc23)C(=O)Nc4ccc(cc4)N5CCNCC5
0.2,1,P,COc1cccc(CC(=O)N2CCC(CC2)n3c(C)nc4ccc(F)cc34)c1
0.8,0,P,Clc1cccc(NC(=O)c2cnc(N3CCN(CC3)c4ccncc4)c(Cl)c2)c1
0.7,0,P,OCCNc1ccc(cc1)C(=O)C2C[C@H]2c3ccc(Cl)cc3
0.7,0,P,FC(F)(F)c1cccc(c1)C(=O)NC2CCN(C2)c3ccnc4ccccc34
0.9,0,P,CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N
0.2,0,P,Nc1nccc2ccc(cc12)c3ccc4nccn4c3
0.4,0,P,CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccnc(N)n3
0.5,0,P,COc1ccc(cn1)c2cnc3ccc(NCc4ccc(cc4)S(=O)(=O)N)nn23
0.4,0,P,CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc4c(Nc5ccc6nn[nH]c6c5)ccnc4c3
2.1,0,P,CC(C)CN1CCC(CC1)N(C)c2cc(NC(=O)c3cccc(C)c3)ccn2
1.9,0,P,Cc1nc([nH]c1C)c2cccc(NCc3ccccc3)c2
0.6,0,P,O=C(Nc1ccccc1)c2ccc(s2)c3cc4ccncc4cc3OC5CCNCC5
2,0,P,COc1ccc(CN2CCOc3ccc(cc3C2)C(C)(O)CN(C)C)cc1C
0.3,0,P,CC1(C)Cc2c(CO1)c(nc3snc(Br)c23)N4CCOCC4
2,0,P,CCc1ccc(cc1)C(NCc2nc(N)nc(n2)N(C)C)C(C)C
2,0,P,Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3
2,0,P,CC(C)N(Cc1ccccn1)Cc2csc(n2)c3oc(C)cc3
2,0,P,Fc1ccccc1C2CC2C(=O)Nc3nc(cs3)c4ccccn4
2,0,P,CCCn1c(NC(=O)c2ccc3ccccc3n2)nc4ccccc14
2,0,P,CCNC(=O)C(C)Nc1nc(nc2sc(C)c(C)c12)c3cccnc3
2,0,P,CNC(=O)CNc1nc(nc2scc(c3ccccc3)c12)c4ccccn4
0.4,0,P,CC1=NC2=NC=CN2C(NC3=CC=C(C(F)(F)F)C=C3)=C1
0.1,0,P,Cc1ccc(cc1)-c1cc(c2cc(ccc2n1)Br)C(=O)Nc1cccnc1
0.1,0,P,Clc1ccc2nc(cc(c2c1)C(=O)NCCN1CCCC1)NCCN1CCOCC1
0.007,0,P,FC1(F)CCN(CCCCNc2cc(c3cc(ccc3n2)Cl)C(=O)NCCN2CCCC2)CC1
0.3,0,P,Cc1cc(Cl)c(cc1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3
1,0,P,CC(C)N(Cc1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3cc(C)on3
0.6,0,P,COc1cc(OC)cc(c1)C(=O)NCC2Cc3cc(Cl)cc(c3O2)c4ccncc4
0.8,0,P,Cc1cc(C)n(n1)c2ccc(NC(=O)C3CCN(Cc4cnc(C)s4)CC3)cc2
1.4,0,P,Clc1ccccc1CSCc2oc(cc2)C(=O)NC3CC3
1.2,0,P,COc1ccc(CCN2CCC(CC2)NCc3cccc(c3)N(C)C)cc1
0.3,0,P,FC(F)(F)c1cnc(Sc2oc(nn2)c3ccncc3)c(Cl)c1
1.3,0,P,CCOc1ccccc1C(=O)Nc2cccc(c2)c3nc4ncccn4c3C
0.1,0,P,CC(Nc1nncc(n1)c2ccc(cc2)C(F)(F)F)c3cn(C)nc3C
0.5,0,P,CC(Nc1cc(Cl)ccc1N2CCOCC2)C(=O)N3CCCC(C)C3
1.1,0,P,COc1ccc(cc1)c2cncc3ccc(nc23)C(=O)NCCCn4ccnc4
0.1,0,P,CO\C=C(\C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2
1.5,0,P,Nc1ncc(Br)cc1c2nc3cc(Cl)cnc3[nH]2
0.6,0,P,C(C1CC1)N2Cc3ccccc3OC4(CCN(Cc5c[nH]c6cnccc56)CC4)C2
2,1,P,CCC1=CC(=O)N(C)C(=N1)SC(C)C(=O)Nc2ccc(F)cc2
1.4,0,P,CC(C)CNc1cc(nc2c([nH]nc12)-c1ccccc1)C
ND,0,P,O=C(C1CCN(CC1)c2nnnn2c3ccccc3)N4CCc5ccccc5C4
