Potency Qualifier	Potency vs Parasite (uMol)	Ion Regulation Activity	Ion Regulation Test Set	Smiles	InChI	IChI Key	Origin	ID: OSM Code	ID: MMV	ID: Internal OSM	ID: PubChem	ID: Chembl	ID: Commercial	ID: Other	Single Shot Inhibition %	Alternative EC50 from Chembl (uM)
	10			c1ncc2n(c1OCC(F)(F)F)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C	InChI=1S/C18H14F4N6O/c1-10-16(11(2)28(26-10)13-5-3-12(19)4-6-13)17-25-24-14-7-23-8-15(27(14)17)29-9-18(20,21)22/h3-8H,9H2,1-2H3		OSM S4		MMV671679							
	10	0	A	c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NCCc1ccc(cc1)F	InChI=1S/C20H15F4N5O/c21-15-6-1-12(9-16(15)22)7-8-25-17-11-29-18(10-26-17)27-28-19(29)13-2-4-14(5-3-13)30-20(23)24/h1-6,9-11,20,25H,7-8H2		OSM S4		MMV671927							
	10			c1ncc2n(c1Oc1ccc(c(c1)Cl)Cl)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C	InChI=1S/C22H15Cl2FN6O/c1-12-21(13(2)31(29-12)15-5-3-14(25)4-6-15)22-28-27-19-10-26-11-20(30(19)22)32-16-7-8-17(23)18(24)9-16/h3-11H,1-2H3		OSM S4		MMV671929							
	10			[C@H]1(C(N([C@@H]1c1cc(c(cc1)F)F)C1CC1)=O)Oc1ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C24H17F4N5O3/c25-16-8-3-13(9-17(16)26)20-21(23(34)33(20)14-4-5-14)36-19-11-32-18(10-29-19)30-31-22(32)12-1-6-15(7-2-12)35-24(27)28/h1-3,6-11,14,20-21,24H,4-5H2/t20-,21+/m1/s1		OSM S4		MMV672619							
	10			c1ncc2n(c1Oc1ccc3c(c1)n(nc3)C)c(nn2)c1ccc(cc1)OC(F)F	InChI=1S/C20H14F2N6O2/c1-27-16-8-15(7-4-13(16)9-24-27)29-18-11-23-10-17-25-26-19(28(17)18)12-2-5-14(6-3-12)30-20(21)22/h2-11,20H,1H3		OSM S4		MMV672623							
	10			c1ncc2n(c1C(=O)Nc1ccnc(c1)C(F)(F)F)c(nn2)c1c(nn(c1C)c1ccc(cc1)F)C	InChI=1S/C23H16F4N8O/c1-12-20(13(2)35(33-12)16-5-3-14(24)4-6-16)21-32-31-19-11-28-10-17(34(19)21)22(36)30-15-7-8-29-18(9-15)23(25,26)27/h3-11H,1-2H3,(H,29,30,36)		OSM S4		MMV672625							
	10			C1(CC1)(C(Oc1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)C(F)(F)F)c1ccc(c(c1)F)F	InChI=1S/C23H15F7N4O2/c24-15-6-3-13(9-16(15)25)22(7-8-22)20(23(28,29)30)36-18-11-31-10-17-32-33-19(34(17)18)12-1-4-14(5-2-12)35-21(26)27/h1-6,9-11,20-21H,7-8H2		OSM S4		MMV672626							
	10	0	A	c1(ncc2n(c1)c(nn2)c1ccc(cc1)OC(F)F)NC(Cc1cccc(c1)Cl)=O	InChI=1S/C20H14ClF2N5O2/c21-14-3-1-2-12(8-14)9-18(29)25-16-11-28-17(10-24-16)26-27-19(28)13-4-6-15(7-5-13)30-20(22)23/h1-8,10-11,20H,9H2,(H,25,29)		OSM S4		MMV672990							
	10			c1(ccc2n(n1)c(nn2)c1ccc(cc1)C#N)NCCc1cnccc1	InChI=1S/C19H15N7/c20-12-14-3-5-16(6-4-14)19-24-23-18-8-7-17(25-26(18)19)22-11-9-15-2-1-10-21-13-15/h1-8,10,13H,9,11H2,(H,22,25)		OSM S4		MMV672992							
>	10			ClC1=CC=CC=C1CCOC2=CN=CC3=NN=C(C4=CC=NC=C4)N32	InChI=1S/C18H14ClN5O/c19-15-4-2-1-3-13(15)7-10-25-17-12-21-11-16-22-23-18(24(16)17)14-5-8-20-9-6-14/h1-6,8-9,11-12H,7,10H2	ONSVYVKJKRCBFG-UHFFFAOYSA-N	OSM S4	OSM-S-258	MMV675949							
>	10			O=C(NC1=C(C)C(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CC=C(OC)C=C4	InChI=1S/C20H16ClN5O2/c1-12-15(21)4-3-5-16(12)23-20(27)17-10-22-11-18-24-25-19(26(17)18)13-6-8-14(28-2)9-7-13/h3-11H,1-2H3,(H,23,27)	LIAWHOKMZQICES-UHFFFAOYSA-N	OSM S4	OSM-S-255	MMV675950							
>	10			O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=NC=CC=C4	InChI=1S/C17H11ClN6O/c18-11-4-3-5-12(8-11)21-17(25)14-9-19-10-15-22-23-16(24(14)15)13-6-1-2-7-20-13/h1-10H,(H,21,25)	GCBSUHZLELOHDM-UHFFFAOYSA-N	OSM S4	OSM-S-262	MMV675961							
>	10			O=C(NC1=CC(Cl)=CC=C1)C2=CN=CC(N23)=NN=C3C4=CN=CC=C4	InChI=1S/C17H11ClN6O/c18-12-4-1-5-13(7-12)21-17(25)14-9-20-10-15-22-23-16(24(14)15)11-3-2-6-19-8-11/h1-10H,(H,21,25)	AQSNHWMTHMLNFL-UHFFFAOYSA-N	OSM S4	OSM-S-263	MMV675962							
>	10			OC(COc1cncc2nnc(CC)n12)c3ccccc3	"InChI=1S/C15H16N4O2/c1-2-13-17-18-14-8-16-9-15(19(13)14)21-10-12(20)11-6-4-3-5-7-11/h3-9,12,20H,2,10H2,1H3  
AuxInfo=1/0/N:12,10,19,18,20,17,21,3,1,13,15,14,9,4,6,2,8,7,5,16,11/E:(4,5)(6,7)/rA:21CNCCNCNNCCOCCCCOCCCCC/rB:s1;d2;s3;s4;d1s5;d4;s7;s5d8;s9;s6;s10;s11;s13;s14;V14;d15;s17;d18;s19;s15d20;/rC:395,-228,0;395,-76,0;527,0,0;659,-76,0;659,-228,0;527,-305,0;804,-29,0;893,-152,0;804,-276,0;851,-420,0;527,-457,0;1000,-452,0;395,-533,0;395,-685,0;263,-761,0;527,-761,0;263,-914,0;131,-990,0;0,-914,0;0,-761,0;131,-685,0;"	ZMELTVBBQIUHNR-UHFFFAOYSA-N	OSM S4	OSM-S-276	MMV688893							
>	10			FC(F)Oc1ccc(cc1)c2nnc3cncc(OC)n23	"InChI=1S/C13H10F2N4O2/c1-20-11-7-16-6-10-17-18-12(19(10)11)8-2-4-9(5-3-8)21-13(14)15/h2-7,13H,1H3
AuxInfo=1/0/N:21,12,16,13,15,3,1,10,14,4,6,9,18,19,20,2,7,8,5,11,17/E:(2,3)(4,5)(14,15)/rA:21CNCCNCNNCCOCCCCCOCFFC/rB:s1;d2;s3;s4;d1s5;d4;s7;s5d8;s9;s6;d10;s12;d13;s14;s10d15;s14;s17;s18;s18;s11;/rC:0,-205,0;0,-68,0;119,0,0;237,-68,0;237,-205,0;119,-274,0;367,-26,0;448,-137,0;367,-248,0;410,-378,0;119,-411,0;543,-406,0;586,-536,0;494,-638,0;360,-609,0;318,-479,0;536,-768,0;445,-870,0;311,-841,0;487,-1000,0;0,-479,0;"	DEPSYKMVBIYBIU-UHFFFAOYSA-N	OSM S4	OSM-S-280	MMV688897							
>	10			FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OC[C@H](NC)C4=CC=CC=C4)N32	InChI=1S/C21H19F2N5O2/c1-24-17(14-5-3-2-4-6-14)13-29-19-12-25-11-18-26-27-20(28(18)19)15-7-9-16(10-8-15)30-21(22)23/h2-12,17,21,24H,13H2,1H3	NXAYCBUWEUBZHA-UHFFFAOYSA-N	OSM S4	OSM-S-281	MMV688898	AEW 214-1						
>	10			FC1=CC(C2=NN=C3N2C(OCC4=NC=CC=C4)=CN=C3)=CC(F)=C1	InChI=1S/C17H11F2N5O/c18-12-5-11(6-13(19)7-12)17-23-22-15-8-20-9-16(24(15)17)25-10-14-3-1-2-4-21-14/h1-9H,10H2	NQPLGASHZCSICG-UHFFFAOYSA-N	OSM S4	OSM-S-298	MMV689974	BX4-1						
>	10			C12=NN=C(C3=CC(OCO4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2	InChI=1S/C18H13N5O3/c1-2-6-20-13(3-1)10-24-17-9-19-8-16-21-22-18(23(16)17)12-4-5-14-15(7-12)26-11-25-14/h1-9H,10-11H2	UEDVUGBYRDYVEK-UHFFFAOYSA-N	OSM S4	OSM-S-299	MMV689975	CX5-1						
>	10			C12=NN=C(C3=CC(C=CC=C4)=C4C=C3)N1C(OCC5=NC=CC=C5)=CN=C2	InChI=1S/C21H15N5O/c1-2-6-16-11-17(9-8-15(16)5-1)21-25-24-19-12-22-13-20(26(19)21)27-14-18-7-3-4-10-23-18/h1-13H,14H2	GPNQKUMRVTXOHH-UHFFFAOYSA-N	OSM S4	OSM-S-300	MMV689976	TY5-1						
>	10	0	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(SCCC4=CC=CC=C4)N32	InChI=1S/C20H16F2N4OS/c21-20(22)27-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)28-11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11H2	GFJJCWGNCVLFNL-UHFFFAOYSA-N	OSM S4	OSM-S-363	MMV693164	EGT 52-1						
>	10	0	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(S(CCC4=CC=CC=C4)=O)N32	InChI=1S/C20H16F2N4O2S/c21-20(22)28-16-8-6-15(7-9-16)19-25-24-17-12-23-13-18(26(17)19)29(27)11-10-14-4-2-1-3-5-14/h1-9,12-13,20H,10-11H2	XRLPEWWQEWQISU-UHFFFAOYSA-N	OSM S4	OSM-S-364	MMV693166	EGT 63-1						
>	10	0	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(CC5=CC=CC=C5)N=N4)N32	InChI=1S/C22H17F2N7O2/c23-22(24)33-18-8-6-16(7-9-18)21-28-27-19-10-25-11-20(31(19)21)32-14-17-13-30(29-26-17)12-15-4-2-1-3-5-15/h1-11,13,22H,12,14H2	MWSSDSZTHFIITL-UHFFFAOYSA-N	OSM S4	OSM-S-372	MMV897701	EGT 82-1						
>	10	0	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(N=N4)=CN4C5=CC=CC=C5)N32	InChI=1S/C21H15F2N7O2/c22-21(23)32-17-8-6-14(7-9-17)20-27-26-18-10-24-11-19(30(18)20)31-13-15-12-29(28-25-15)16-4-2-1-3-5-16/h1-12,21H,13H2	JAWVVMAXICVBNV-UHFFFAOYSA-N	OSM S4	OSM-S-373	MMV897702	EGT 101-1						
>	10	0	C	FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CN(C5=NC(Cl)=CN=C5)N=N4)N32	InChI=1S/C19H12ClF2N9O2/c20-14-5-23-6-15(25-14)30-9-12(26-29-30)10-32-17-8-24-7-16-27-28-18(31(16)17)11-1-3-13(4-2-11)33-19(21)22/h1-9,19H,10H2	LHPHPSWVDUENHC-UHFFFAOYSA-N	OSM S4	OSM-S-374	MMV897703	EGT 105-2						
>	10	0	C	IC12C(C3C1C4C52)C5C34C6=NN=C7C=NC=C(OCCC8=CC(F)=C(F)C=C8)N76	InChI=1S/C21H15F2IN4O/c22-9-2-1-8(5-10(9)23)3-4-29-12-7-25-6-11-26-27-19(28(11)12)20-13-16-14(20)18-15(20)17(13)21(16,18)24/h1-2,5-7,13-18H,3-4H2	XDGWZNAHVCGVML-UHFFFAOYSA-N	OSM S4	OSM-S-375	MMV897704	EGT 117-1						
>	10	0	C	OC1=CN=CC2=NN=C(N3CCCCC3)N21	InChI=1S/C10H13N5O/c16-9-7-11-6-8-12-13-10(15(8)9)14-4-2-1-3-5-14/h6-7,16H,1-5H2	SMLXPIMVJWUYAO-UHFFFAOYSA-N	OSM S4	OSM-S-388	MMV897705	HM 8-1						
>	10	0	C	FC(C=C1)=C(F)C=C1CCOC2=CN=CC3=NN=CN32	InChI=1S/C13H10F2N4O/c14-10-2-1-9(5-11(10)15)3-4-20-13-7-16-6-12-18-17-8-19(12)13/h1-2,5-8H,3-4H2	YHNADHDORQAQNL-UHFFFAOYSA-N	OSM S4	OSM-S-387	MMV897706	EGT 151-1						
>	10	0	C	IC12C3C4C5(C3C1C5C24)C6=NN=C7C=NC=C(C(NC8=CC(C(F)(F)F)=NC=C8)=O)N76	InChI=1S/C20H12F3IN6O/c21-20(22,23)8-3-6(1-2-26-8)27-16(31)7-4-25-5-9-28-29-17(30(7)9)18-10-13-11(18)15-12(18)14(10)19(13,15)24/h1-5,10-15H,(H,26,27,31)	BCBDEZPMCZDSAL-UHFFFAOYSA-N	OSM S4	OSM-S-382	MMV897710	EGT 123-1						
	11			CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C	InChI=1S/C16H17FN2O3/c1-9-8-14(16(21)22-11(3)15(18)20)10(2)19(9)13-6-4-12(17)5-7-13/h4-8,11H,1-3H3,(H2,18,20)	JKLVGXNSTVWIID-UHFFFAOYSA-N	OSM S1	OSM-S-116		AEW77	6915212					
	11.3			CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(N(C)C)=O	InChI=1S/C17H19FN2O3/c1-11-9-15(17(22)23-10-16(21)19(3)4)12(2)20(11)14-7-5-13(18)6-8-14/h5-9H,10H2,1-4H3	UBASAKWAWFZWGG-UHFFFAOYSA-N	OSM S1	OSM-S-91			2458246					
	14.7			CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Cl)CNC3CCN(CC3)CC(=NC)O	InChI=1S/C21H29ClN4O/c1-15-12-17(16(2)26(15)20-6-4-18(22)5-7-20)13-24-19-8-10-25(11-9-19)14-21(27)23-3/h4-7,12,19,24H,8-11,13-14H2,1-3H3,(H,23,27)	HQRQGAAJRGIERF-UHFFFAOYSA-N	OSM S1	OSM-S-88			38056956					
	24.7			CCN=C([C@@H]1C[C@H](CN1CC2=C(C)[N](C(=C2)C)C3=CC=CC=C3Cl)N)O	InChI=1S/C20H27ClN4O/c1-4-23-20(26)19-10-16(22)12-24(19)11-15-9-13(2)25(14(15)3)18-8-6-5-7-17(18)21/h5-9,16,19H,4,10-12,22H2,1-3H3,(H,23,26)/t16-,19+/m1/s1	ZUKQHVDBUYFYRN-APWZRJJASA-N	OSM S1	OSM-S-89			56716039					
	50	0	A	CC(N1C2=CC=C(F)C=C2)=C(C(O)=O)C=C1C	InChI=1S/C13H12FNO2/c1-8-7-12(13(16)17)9(2)15(8)11-5-3-10(14)4-6-11/h3-7H,1-2H3,(H,16,17)	UHSNGSYVRLIXCX-UHFFFAOYSA-N	OSM S1	OSM-S-4		PMY3; PMY8; JRC2; AEW10; MNR57	5008278					
>	50			ClC1=CC=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1	InChI=1S/C13H9ClN4/c14-12-2-1-3-13(17-12)18-16-9-11-6-4-10(8-15)5-7-11/h1-7,9H,(H,17,18)/b16-9+	WOEMAXIGZYIWII-CXUHLZMHSA-N	OSM S4			JS 10-1						
>	50			ClC1=CC=CC2=NN=C(C3=CC=C(C#N)C=C3)N21	InChI=1S/C13H7ClN4/c14-11-2-1-3-12-16-17-13(18(11)12)10-6-4-9(8-15)5-7-10/h1-7H	ROKQDRVNUIOPKS-UHFFFAOYSA-N	OSM S4			JS 11-1						
>	50			ClC1=CC=CC(C(NC2=CC(C(F)(F)F)=NC=C2)=O)=N1	InChI=1S/C12H7ClF3N3O/c13-10-3-1-2-8(19-10)11(20)18-7-4-5-17-9(6-7)12(14,15)16/h1-6H,(H,17,18,20)	VNCOWSRRKZJWES-UHFFFAOYSA-N	OSM S4			JS 12-1						
>	50			O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC(N/N=C/C3=CC=C(C#N)C=C3)=N2	InChI=1S/C20H13F3N6O/c21-20(22,23)17-10-15(8-9-25-17)27-19(30)16-2-1-3-18(28-16)29-26-12-14-6-4-13(11-24)5-7-14/h1-10,12H,(H,28,29)(H,25,27,30)/b26-12+	HITQOKWUFWDBPF-RPPGKUMJSA-N	OSM S4			JS 15-1						
>	50			O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32	InChI=1S/C20H11F3N6O/c21-20(22,23)16-10-14(8-9-25-16)26-19(30)15-2-1-3-17-27-28-18(29(15)17)13-6-4-12(11-24)5-7-13/h1-10H,(H,25,26,30)	PGPJMFWOQCDCCV-UHFFFAOYSA-N	OSM S4			JS 16-1						
	50			FC1=CC=C(N2C(C)=CC(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1	InChI=1S/C15H18FN3O3S/c1-10-8-14(23(21,22)18(3)9-15(17)20)11(2)19(10)13-6-4-12(16)5-7-13/h4-8H,9H2,1-3H3,(H2,17,20)	KRDORFFFZGUMFF-UHFFFAOYSA-N	OSM S1	OSM-E-1		PT-1-10	57519183					
	50			FC1=CC=C(N2C(C)=CC(S(NCC(N)=O)(=O)=O)=C2C)C=C1	InChI=1S/C14H16FN3O3S/c1-9-7-13(22(20,21)17-8-14(16)19)10(2)18(9)12-5-3-11(15)4-6-12/h3-7,17H,8H2,1-2H3,(H2,16,19)	RMHRPTFDPMUFGU-UHFFFAOYSA-N	OSM S1	OSM-E-2		PT-1-12						
	50			FC1=CC=C(N2C(C)=C(S(N(CC(N)=O)C)(=O)=O)C(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1	InChI=1S/C18H24FN5O6S2/c1-11-17(31(27,28)22(3)9-15(20)25)18(32(29,30)23(4)10-16(21)26)12(2)24(11)14-7-5-13(19)6-8-14/h5-8H,9-10H2,1-4H3,(H2,20,25)(H2,21,26)	TZMPVBDMPWKREJ-UHFFFAOYSA-N	OSM S1	OSM-E-3		PT-1-5						
	50			FC1=CC=C(N2N=NC(COC(CBr)=O)=C2)C=C1	InChI=1S/C11H9BrFN3O2/c12-5-11(17)18-7-9-6-16(15-14-9)10-3-1-8(13)2-4-10/h1-4,6H,5,7H2	UNGOTBWYUGGCJU-UHFFFAOYSA-N	OSM S1	OSM-E-4		PT-1-14-C1						
	50			FC1=CC=C(N2N=NC(COCC(OCC)=O)=C2)C=C1	InChI=1S/C13H14FN3O3/c1-2-20-13(18)9-19-8-11-7-17(16-15-11)12-5-3-10(14)4-6-12/h3-7H,2,8-9H2,1H3	OAQNGCWJHOFYIG-UHFFFAOYSA-N	OSM S1	OSM-E-5		PT-1-14-C2						
	50			FC1=CC=C(N2N=NC(COCC(OC)=O)=C2)C=C1	InChI=1S/C12H12FN3O3/c1-18-12(17)8-19-7-10-6-16(15-14-10)11-4-2-9(13)3-5-11/h2-6H,7-8H2,1H3	MXCBYXCXBDMCMO-UHFFFAOYSA-N	OSM S1	OSM-E-6		PT-1-14-C3						
	50			FC1=CC=C(N2N=NC(COCC(OCC3=CN(C4=CC=C(F)C=C4)N=N3)=O)=C2)C=C1	InChI=1S/C20H16F2N6O3/c21-14-1-5-18(6-2-14)27-9-16(23-25-27)11-30-13-20(29)31-12-17-10-28(26-24-17)19-7-3-15(22)4-8-19/h1-10H,11-13H2	CWJPLXSSRWVEAF-UHFFFAOYSA-N	OSM S1	OSM-E-7		PT-1-14-C4						
	50			FC1=CC=C(N2N=NC(COCC(N)=O)=C2)C=C1	InChI=1S/C11H11FN4O2/c12-8-1-3-10(4-2-8)16-5-9(14-15-16)6-18-7-11(13)17/h1-5H,6-7H2,(H2,13,17)	XMSVYANCVZPQJL-UHFFFAOYSA-N	OSM S1	OSM-E-8		PT-1-15						
	50			FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1	InChI=1S/C16H16FNO4/c1-9-8-14(16(21)22-11(3)15(19)20)10(2)18(9)13-6-4-12(17)5-7-13/h4-8,11H,1-3H3,(H,19,20)	CLQCMRDHQCCPEN-UHFFFAOYSA-N	OSM S1	OSM-S-100		AEW73; MD18	71450943					
	50			FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1	InChI=1S/C16H13FN2O3/c1-9-7-13(15-18-14(8-22-15)16(20)21)10(2)19(9)12-5-3-11(17)4-6-12/h3-8H,1-2H3,(H,20,21)	PZPDUGQJGPKVEM-UHFFFAOYSA-N	OSM S1	OSM-S-101		PMY59	71459966					
	50			FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1	InChI=1S/C17H19FN2O2/c1-11-10-15(16(21)8-9-17(22)19-3)12(2)20(11)14-6-4-13(18)5-7-14/h4-7,10H,8-9H2,1-3H3,(H,19,22)	NTSUYUWERKMXIY-UHFFFAOYSA-N	OSM S1	OSM-S-102		MNR53	71461679					
	50			CC(N1C2=CC=C(F)C=C2)=C(C(CCC(N)=O)=O)C=C1C	InChI=1S/C16H17FN2O2/c1-10-9-14(15(20)7-8-16(18)21)11(2)19(10)13-5-3-12(17)4-6-13/h3-6,9H,7-8H2,1-2H3,(H2,18,21)	IUFWRPRMBNNROV-UHFFFAOYSA-N	OSM S1	OSM-S-103		MNR54	71452751					
	50			FC1=CC=C(N2N=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1	InChI=1S/C14H10FN3O3/c1-8-11(13-17-12(7-21-13)14(19)20)6-16-18(8)10-4-2-9(15)3-5-10/h2-7H,1H3,(H,19,20)	WPAXFMQFJQZBFD-UHFFFAOYSA-N	OSM S1	OSM-S-104		MNR55	71450944					
	50			FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1	InChI=1S/C14H11FN4O2/c1-8-11(14-18-12(7-21-14)13(16)20)6-17-19(8)10-4-2-9(15)3-5-10/h2-7H,1H3,(H2,16,20)	JODCOGVLCRBBMU-UHFFFAOYSA-N	OSM S1	OSM-S-105		MNR56	57519185					
	50			O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=N3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4	InChI=1S/C21H18N4O2S/c1-13-11-15(14(2)25(13)19-5-3-4-10-22-19)12-18-20(27)24-21(28-18)23-16-6-8-17(26)9-7-16/h3-12,26H,1-2H3,(H,23,24,27)/b18-12-	QZBWTSAVUQHJPY-PDGQHHTCSA-N	OSM S1	OSM-S-113		MNR92						
	50			CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C	InChI=1S/C13H13NO2/c1-9-8-12(13(15)16)10(2)14(9)11-6-4-3-5-7-11/h3-8H,1-2H3,(H,15,16)	CIRVCSCFJALBOH-UHFFFAOYSA-N	OSM S1	OSM-S-12		PMY20	292955					
	50			CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1	InChI=1S/C14H15NO2/c1-9-4-6-12(7-5-9)15-10(2)8-13(11(15)3)14(16)17/h4-8H,1-3H3,(H,16,17)	YNFCEUIZSXIFCE-UHFFFAOYSA-N	OSM S1	OSM-S-13		PMY21	757547					
	50			CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C	InChI=1S/C14H12F3NO2/c1-8-7-12(13(19)20)9(2)18(8)11-5-3-10(4-6-11)14(15,16)17/h3-7H,1-2H3,(H,19,20)	LVAKCYJWXASSHB-UHFFFAOYSA-N	OSM S1	OSM-S-14		PMY22	18179364					
	50			O=C(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)CNC(C3=CC=CC=C3)=O	InChI=1S/C20H20N4O3/c1-14-18(20(27)24(23(14)2)16-11-7-4-8-12-16)22-17(25)13-21-19(26)15-9-5-3-6-10-15/h3-12H,13H2,1-2H3,(H,21,26)(H,22,25)	URWSDMBJVGVIQC-UHFFFAOYSA-N	OSM S1	OSM-S-16		PMY27	54704					
	50			CC(N1C2=CC=C(F)C=C2)=CC(C(NCC(N)=O)=O)=C1C	InChI=1S/C15H16FN3O2/c1-9-7-13(15(21)18-8-14(17)20)10(2)19(9)12-5-3-11(16)4-6-12/h3-7H,8H2,1-2H3,(H2,17,20)(H,18,21)	NNGDJLZNBQLHHL-UHFFFAOYSA-N	OSM S1	OSM-S-19		PMY31; AEW59	57515637					
	50			CC1=CC(C=O)=C(C)N1C1=CC=C(F)C=C1	InChI=1S/C13H12FNO/c1-9-7-11(8-16)10(2)15(9)13-5-3-12(14)4-6-13/h3-8H,1-2H3	COLPZCHNJIVKMV-UHFFFAOYSA-N	OSM S1	OSM-S-2		PMY2; AEW2	951687					
	50			FC1=CC=C(N2C(C)=CC(C(NCC(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=O)=C2C)C=C1	InChI=1S/C26H26FN5O3/c1-16-14-22(17(2)31(16)20-12-10-19(27)11-13-20)25(34)28-15-23(33)29-24-18(3)30(4)32(26(24)35)21-8-6-5-7-9-21/h5-14H,15H2,1-4H3,(H,28,34)(H,29,33)	RRYQCWKAZAVYJI-UHFFFAOYSA-N	OSM S1	OSM-S-21		PMY34; AEW65	57515638					
	50			CC(N1C2=CC=CC=C2)=CC(C=O)=C1C	InChI=1S/C13H13NO/c1-10-8-12(9-15)11(2)14(10)13-6-4-3-5-7-13/h3-9H,1-2H3	LNROIXNEIZSESG-UHFFFAOYSA-N	OSM S1	OSM-S-28		LMW4; AEW49	66515					
	50			CC1=CC=C(N2C(C)=C(C=O)C=C2C)C=C1	InChI=1S/C14H15NO/c1-10-4-6-14(7-5-10)15-11(2)8-13(9-16)12(15)3/h4-9H,1-3H3	YGUWNSYHYBHIIC-UHFFFAOYSA-N	OSM S1	OSM-S-29		LMW5	818156					
	50			O=C(C1=C(C)N(C2=CC=C(F)C=C2)C(C)=C1)OCC	InChI=1S/C15H16FNO2/c1-4-19-15(18)14-9-10(2)17(11(14)3)13-7-5-12(16)6-8-13/h5-9H,4H2,1-3H3	BFRWWAGLFICHEG-UHFFFAOYSA-N	OSM S1	OSM-S-3		PMY6; JRC1; AEW7, MD1	57515633					
	50			CCOC(C1=C(C)N(C2=CC=C(C=C2)C)C(C)=C1)=O	InChI=1S/C16H19NO2/c1-5-19-16(18)15-10-12(3)17(13(15)4)14-8-6-11(2)7-9-14/h6-10H,5H2,1-4H3	YFYVWGMFZWLSNW-UHFFFAOYSA-N	OSM S1	OSM-S-30		LMW6	44122522					
	50			O=C(C1=C(C)N(C2=CC=CC=C2)C(C)=C1)OCC	InChI=1S/C15H17NO2/c1-4-18-15(17)14-10-11(2)16(12(14)3)13-8-6-5-7-9-13/h5-10H,4H2,1-3H3	LNBCSWPBLZPWKQ-UHFFFAOYSA-N	OSM S1	OSM-S-31		LMW8	2742171					
	50			O=C(C1=C(C)N(C2=CC=C(C(F)(F)F)C=C2)C(C)=C1)OCC	InChI=1S/C16H16F3NO2/c1-4-22-15(21)14-9-10(2)20(11(14)3)13-7-5-12(6-8-13)16(17,18)19/h5-9H,4H2,1-3H3	DSKJELKQHGKPCX-UHFFFAOYSA-N	OSM S1	OSM-S-32		LMW9	57515640					
	50			CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3CC#N)=O)\SC3=N/C4=CC=CC=C4)C=C1C	InChI=1S/C25H19F3N4OS/c1-16-14-18(17(2)32(16)21-10-8-19(9-11-21)25(26,27)28)15-22-23(33)31(13-12-29)24(34-22)30-20-6-4-3-5-7-20/h3-11,14-15H,13H2,1-2H3/b22-15-,30-24+	CYTCJKBOZWMCAR-DDABIZCTSA-N	OSM S1	OSM-S-42		ZYH10-2A						
